date,county,fips,new_cases,new_deaths
2021-05-25,Ada,16001.0,37.0,0.0
2021-05-26,Ada,16001.0,38.0,0.0
2021-05-27,Ada,16001.0,32.0,2.0
2021-05-28,Ada,16001.0,49.0,0.0
2021-05-29,Ada,16001.0,0.0,0.0
2021-05-30,Ada,16001.0,0.0,0.0
2021-05-31,Ada,16001.0,0.0,0.0
2021-06-01,Ada,16001.0,75.0,0.0
2021-06-02,Ada,16001.0,62.0,0.0
2021-06-03,Ada,16001.0,27.0,3.0
2021-06-04,Ada,16001.0,47.0,0.0
2021-06-05,Ada,16001.0,0.0,0.0
2021-06-06,Ada,16001.0,0.0,0.0
2021-06-07,Ada,16001.0,62.0,0.0
2021-06-08,Ada,16001.0,38.0,-1.0
2021-06-09,Ada,16001.0,33.0,4.0
2021-06-10,Ada,16001.0,34.0,0.0
2021-06-11,Ada,16001.0,18.0,0.0
2021-06-12,Ada,16001.0,0.0,0.0
2021-06-13,Ada,16001.0,0.0,0.0
2021-06-14,Ada,16001.0,71.0,0.0
2021-06-15,Ada,16001.0,25.0,0.0
2021-06-16,Ada,16001.0,23.0,2.0
2021-06-17,Ada,16001.0,24.0,0.0
2021-06-18,Ada,16001.0,0.0,0.0
2021-06-19,Ada,16001.0,0.0,0.0
2021-06-20,Ada,16001.0,0.0,0.0
2021-06-21,Ada,16001.0,76.0,0.0
2021-06-22,Ada,16001.0,20.0,3.0
2021-06-23,Ada,16001.0,19.0,0.0
2021-06-24,Ada,16001.0,23.0,0.0
2021-06-25,Ada,16001.0,23.0,0.0
2021-06-26,Ada,16001.0,0.0,0.0
2021-06-27,Ada,16001.0,0.0,0.0
2021-06-28,Ada,16001.0,30.0,0.0
2021-06-29,Ada,16001.0,34.0,0.0
2021-06-30,Ada,16001.0,21.0,1.0
2021-07-01,Ada,16001.0,36.0,2.0
2021-07-02,Ada,16001.0,21.0,0.0
2021-07-03,Ada,16001.0,0.0,0.0
2021-07-04,Ada,16001.0,0.0,0.0
2021-07-05,Ada,16001.0,0.0,0.0
2021-07-06,Ada,16001.0,87.0,0.0
2021-07-07,Ada,16001.0,59.0,0.0
2021-07-08,Ada,16001.0,56.0,1.0
2021-07-09,Ada,16001.0,47.0,1.0
2021-07-10,Ada,16001.0,0.0,0.0
2021-07-11,Ada,16001.0,0.0,0.0
2021-07-12,Ada,16001.0,112.0,0.0
2021-07-13,Ada,16001.0,43.0,0.0
2021-07-14,Ada,16001.0,59.0,0.0
2021-07-15,Ada,16001.0,62.0,0.0
2021-07-16,Ada,16001.0,55.0,0.0
2021-07-17,Ada,16001.0,0.0,0.0
2021-07-18,Ada,16001.0,0.0,0.0
2021-07-19,Ada,16001.0,116.0,1.0
2021-07-20,Ada,16001.0,72.0,1.0
2021-07-21,Ada,16001.0,122.0,0.0
2021-07-22,Ada,16001.0,30.0,1.0
2021-07-23,Ada,16001.0,87.0,0.0
2021-07-24,Ada,16001.0,0.0,0.0
2021-07-25,Ada,16001.0,0.0,0.0
2021-07-26,Ada,16001.0,214.0,0.0
2021-07-27,Ada,16001.0,85.0,0.0
2021-07-28,Ada,16001.0,101.0,0.0
2021-07-29,Ada,16001.0,165.0,0.0
2021-07-30,Ada,16001.0,112.0,2.0
2021-07-31,Ada,16001.0,0.0,0.0
2021-08-01,Ada,16001.0,0.0,0.0
2021-08-02,Ada,16001.0,274.0,0.0
2021-08-03,Ada,16001.0,180.0,0.0
2021-08-04,Ada,16001.0,214.0,1.0
2021-08-05,Ada,16001.0,284.0,0.0
2021-08-06,Ada,16001.0,250.0,1.0
2021-08-07,Ada,16001.0,0.0,0.0
2021-08-08,Ada,16001.0,0.0,0.0
2021-08-09,Ada,16001.0,264.0,1.0
2021-08-10,Ada,16001.0,151.0,1.0
2021-08-11,Ada,16001.0,183.0,0.0
2021-08-12,Ada,16001.0,207.0,0.0
2021-08-13,Ada,16001.0,210.0,0.0
2021-08-14,Ada,16001.0,0.0,0.0
2021-08-15,Ada,16001.0,0.0,0.0
2021-08-16,Ada,16001.0,553.0,0.0
2021-08-17,Ada,16001.0,165.0,0.0
2021-08-18,Ada,16001.0,291.0,2.0
2021-08-19,Ada,16001.0,211.0,0.0
2021-08-20,Ada,16001.0,103.0,0.0
2021-08-21,Ada,16001.0,0.0,0.0
2021-08-22,Ada,16001.0,0.0,0.0
2021-08-23,Ada,16001.0,324.0,5.0
2021-08-24,Ada,16001.0,130.0,2.0
2021-08-25,Ada,16001.0,314.0,3.0
2021-08-26,Ada,16001.0,300.0,1.0
2021-08-27,Ada,16001.0,159.0,5.0
2021-08-28,Ada,16001.0,0.0,0.0
2021-08-29,Ada,16001.0,0.0,0.0
2021-08-30,Ada,16001.0,608.0,3.0
2021-08-31,Ada,16001.0,172.0,2.0
2021-09-01,Ada,16001.0,186.0,3.0
2021-09-02,Ada,16001.0,494.0,3.0
2021-09-03,Ada,16001.0,380.0,0.0
2021-09-04,Ada,16001.0,0.0,0.0
2021-09-05,Ada,16001.0,0.0,0.0
2021-09-06,Ada,16001.0,0.0,0.0
2021-09-07,Ada,16001.0,707.0,7.0
2021-09-08,Ada,16001.0,208.0,1.0
2021-09-09,Ada,16001.0,212.0,4.0
2021-09-10,Ada,16001.0,250.0,5.0
2021-09-11,Ada,16001.0,0.0,0.0
2021-09-12,Ada,16001.0,534.0,8.0
2021-09-13,Ada,16001.0,405.0,1.0
2021-09-14,Ada,16001.0,410.0,1.0
2021-09-15,Ada,16001.0,390.0,8.0
2021-09-16,Ada,16001.0,339.0,6.0
2021-09-17,Ada,16001.0,363.0,2.0
2021-09-18,Ada,16001.0,321.0,12.0
2021-09-19,Ada,16001.0,203.0,0.0
2021-09-20,Ada,16001.0,338.0,1.0
2021-09-21,Ada,16001.0,528.0,3.0
2021-09-22,Ada,16001.0,467.0,4.0
2021-09-23,Ada,16001.0,445.0,5.0
2021-09-24,Ada,16001.0,579.0,7.0
2021-09-25,Ada,16001.0,409.0,0.0
